doc,div1,div2,unit,para,term_str,n,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
Afghanistan_2004,0,0,1,1,peace,1,0,1,0,0,1,0,0,1,1
Afghanistan_2004,0,0,1,1,praise,2,0,0,0,0,2,0,0,2,2
Afghanistan_2004,0,0,1,3,believing,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,3,god,1,0,1,0,1,1,0,0,1,1
Afghanistan_2004,0,0,1,5,freedom,1,0,0,0,0,1,0,0,1,1
Afghanistan_2004,0,0,1,5,resistance,1,1,0,0,0,0,0,0,0,-1
Afghanistan_2004,0,0,1,5,sacrifices,1,0,0,1,1,0,1,0,0,-1
Afghanistan_2004,0,0,1,6,united,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,7,united,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,9,independence,1,0,1,0,0,1,0,1,1,1
Afghanistan_2004,0,0,1,9,integrity,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,9,safeguard,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,9,unity,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,11,atrocity,1,1,0,1,1,0,1,0,0,-1
Afghanistan_2004,0,0,1,11,discrimination,1,1,0,1,1,0,1,0,0,-1
Afghanistan_2004,0,0,1,11,fundamental,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,11,integrity,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,11,justice,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,11,oppression,1,1,0,1,1,0,1,0,0,-1
Afghanistan_2004,0,0,1,11,protecting,1,0,0,0,0,0,0,0,1,1
Afghanistan_2004,0,0,1,11,rule,1,0,0,0,1,0,0,0,1,0
Afghanistan_2004,0,0,1,11,violence,1,1,0,0,1,0,1,0,0,-1
Afghanistan_2004,0,0,1,12,defense,1,1,1,0,1,0,0,0,0,1
