doc,div1,div2,unit,para,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,n
Afghanistan_2004,0,0,1,1,0,1,0,0,3,0,0,3,3,3
Afghanistan_2004,0,0,1,3,0,1,0,1,1,0,0,2,2,2
Afghanistan_2004,0,0,1,5,1,0,1,1,1,1,0,1,-1,3
Afghanistan_2004,0,0,1,6,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,0,0,1,7,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,0,0,1,9,0,1,0,0,1,0,1,4,4,4
Afghanistan_2004,0,0,1,11,4,0,3,5,0,4,0,5,0,9
Afghanistan_2004,0,0,1,12,1,1,0,1,0,0,0,0,1,1
Afghanistan_2004,0,0,1,13,0,0,0,0,1,0,0,0,1,1
Afghanistan_2004,1,0,4,0,0,1,0,1,1,0,0,2,1,3
Afghanistan_2004,1,0,5,0,1,2,0,1,1,0,1,3,4,4
Afghanistan_2004,1,0,6,0,0,0,0,0,3,0,0,4,6,6
Afghanistan_2004,1,0,7,0,1,1,1,1,0,1,1,1,1,3
Afghanistan_2004,1,0,8,0,0,3,0,0,4,0,2,5,5,5
Afghanistan_2004,1,0,9,0,0,1,0,0,2,0,0,3,4,4
Afghanistan_2004,1,0,10,0,0,0,0,0,1,0,0,1,1,1
Afghanistan_2004,1,0,11,0,0,1,0,0,0,0,0,0,1,1
Afghanistan_2004,1,0,12,0,1,3,0,1,2,0,2,4,4,5
Afghanistan_2004,1,0,13,0,0,1,0,0,0,0,0,2,3,3
Afghanistan_2004,1,0,14,0,0,3,0,0,1,0,0,3,5,5
Afghanistan_2004,1,0,15,0,0,1,0,0,1,0,0,1,1,1
Afghanistan_2004,1,0,16,0,0,1,0,0,1,0,0,3,4,4
Afghanistan_2004,1,0,17,0,0,2,0,0,1,0,0,1,2,2
Afghanistan_2004,1,0,18,0,0,2,0,0,0,0,0,1,2,2
Afghanistan_2004,1,0,19,0,0,6,0,1,5,2,1,8,7,11
Afghanistan_2004,1,0,20,0,0,1,0,1,1,0,0,1,1,1
Afghanistan_2004,2,0,0,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,2,0,1,0,1,0,1,1,1,1,0,1,0,2
Afghanistan_2004,2,0,2,0,0,2,0,1,2,0,1,2,3,3
Afghanistan_2004,2,0,3,0,0,5,0,0,4,0,3,6,7,7
Afghanistan_2004,2,0,4,0,3,1,0,2,0,1,0,2,0,5
Afghanistan_2004,2,0,5,0,4,0,0,3,0,3,0,1,-5,5
Afghanistan_2004,2,0,6,0,5,2,3,4,0,3,0,1,-3,6
Afghanistan_2004,2,0,7,0,3,0,0,2,0,1,0,0,-3,3
Afghanistan_2004,2,0,8,0,5,2,5,5,0,4,0,2,-4,8
Afghanistan_2004,2,0,9,0,5,3,0,5,0,2,2,1,-5,8
Afghanistan_2004,2,0,10,0,12,6,2,11,1,2,1,5,3,17
Afghanistan_2004,2,0,11,0,0,0,0,0,1,2,0,1,-1,3
Afghanistan_2004,2,0,12,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,2,0,13,0,0,0,0,0,1,0,0,1,1,1
Afghanistan_2004,2,0,14,0,1,0,0,0,0,0,0,1,1,1
Afghanistan_2004,2,0,14,2,0,0,0,0,1,0,0,1,1,1
Afghanistan_2004,2,0,14,5,1,1,0,2,0,0,0,3,2,4
Afghanistan_2004,2,0,15,0,0,1,0,0,1,0,1,1,1,1
Afghanistan_2004,2,0,16,0,0,2,0,1,1,0,0,1,2,4
Afghanistan_2004,2,0,17,0,4,4,0,4,1,1,0,3,2,9
Afghanistan_2004,2,0,19,0,3,3,0,2,1,2,1,3,3,8
Afghanistan_2004,2,0,20,0,0,0,0,0,0,0,0,3,1,3
Afghanistan_2004,2,0,21,0,0,2,0,0,3,2,0,5,3,7
Afghanistan_2004,2,0,22,0,0,2,0,0,1,1,0,5,5,6
Afghanistan_2004,2,0,23,0,0,1,0,0,2,0,0,2,3,3
Afghanistan_2004,2,0,24,0,0,1,0,0,0,0,0,2,3,3
Afghanistan_2004,2,0,25,0,0,0,0,0,0,0,0,6,6,6
Afghanistan_2004,2,0,26,0,0,0,0,0,1,0,0,5,5,5
Afghanistan_2004,2,0,28,0,2,5,1,5,3,1,3,3,-1,9
Afghanistan_2004,2,0,29,0,1,1,1,1,1,1,0,1,2,4
Afghanistan_2004,2,0,30,0,4,3,2,3,0,2,0,2,0,6
Afghanistan_2004,2,0,31,0,0,2,0,2,0,0,0,3,3,3
Afghanistan_2004,2,0,32,0,0,1,0,4,0,3,0,3,0,6
Afghanistan_2004,2,0,33,0,1,2,1,1,2,2,0,2,1,4
Afghanistan_2004,2,0,35,0,0,2,0,0,1,0,0,2,3,3
Afghanistan_2004,2,0,36,0,0,1,0,0,1,0,0,2,2,2
Afghanistan_2004,2,0,37,0,3,3,0,3,2,2,2,5,3,8
Afghanistan_2004,2,0,38,0,0,1,0,0,1,0,1,3,3,3
Afghanistan_2004,3,0,0,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,3,0,1,0,1,2,1,4,0,5,2,4,-2,9
Afghanistan_2004,3,0,2,0,0,2,0,2,2,2,2,3,2,7
Afghanistan_2004,3,0,3,3,3,1,2,3,1,1,0,1,-1,4
Afghanistan_2004,3,0,3,4,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,3,0,4,0,0,0,0,0,1,0,0,3,4,4
Afghanistan_2004,3,0,4,1,0,6,0,4,6,0,1,9,9,10
Afghanistan_2004,3,0,5,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,3,0,5,2,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,3,0,5,3,1,0,0,1,0,0,0,0,0,1
Afghanistan_2004,3,0,5,4,0,1,0,1,1,0,0,2,1,3
Afghanistan_2004,3,0,5,5,0,1,0,1,1,0,1,2,3,3
Afghanistan_2004,3,0,5,6,1,0,0,1,0,0,0,1,1,2
Afghanistan_2004,3,0,5,8,0,0,0,1,0,1,1,1,0,2
Afghanistan_2004,3,0,5,9,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,3,0,5,11,3,0,1,3,0,3,2,3,0,6
Afghanistan_2004,3,0,5,12,2,2,0,2,0,0,0,1,1,3
Afghanistan_2004,3,0,5,13,2,0,1,3,0,2,2,1,-1,4
Afghanistan_2004,3,0,5,16,0,1,0,0,0,0,0,1,1,1
Afghanistan_2004,3,0,5,17,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,3,0,5,20,0,1,0,0,1,0,0,1,1,1
Afghanistan_2004,3,0,6,0,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,3,0,7,0,2,0,0,2,0,0,0,2,1,4
Afghanistan_2004,3,0,8,0,4,3,3,8,1,8,3,10,2,19
Afghanistan_2004,3,0,8,4,0,0,0,1,0,1,0,2,1,3
Afghanistan_2004,3,0,9,0,2,2,2,5,1,5,2,7,2,12
Afghanistan_2004,3,0,10,0,3,0,1,1,1,0,1,4,1,7
Afghanistan_2004,3,0,10,1,3,2,1,3,2,1,0,4,3,9
Afghanistan_2004,3,0,11,0,0,2,0,0,2,0,0,3,4,4
Afghanistan_2004,4,0,0,0,0,0,0,1,0,0,0,0,-1,1
Afghanistan_2004,4,0,1,0,0,0,0,1,0,0,0,1,0,2
Afghanistan_2004,4,0,2,1,1,0,0,1,1,1,0,1,0,2
Afghanistan_2004,4,0,2,2,0,1,0,0,1,0,1,1,1,1
Afghanistan_2004,4,0,2,4,3,1,2,3,1,1,0,1,-1,4
Afghanistan_2004,4,0,3,0,0,0,0,0,0,0,0,3,3,3
Afghanistan_2004,4,0,4,0,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,4,0,4,1,0,4,0,2,4,0,1,8,8,8
Afghanistan_2004,4,0,5,0,0,0,0,1,0,0,0,0,-1,1
Afghanistan_2004,4,0,5,2,0,1,0,1,2,0,1,4,5,5
Afghanistan_2004,4,0,5,3,0,1,1,0,1,0,0,1,1,3
Afghanistan_2004,4,0,5,4,0,2,0,0,1,0,0,1,3,3
Afghanistan_2004,4,0,5,6,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,4,0,5,7,0,0,0,1,0,1,0,0,-2,2
Afghanistan_2004,4,0,6,0,0,0,0,1,1,0,0,2,1,3
Afghanistan_2004,4,0,7,0,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,4,0,8,0,3,1,1,4,2,1,1,1,-1,6
Afghanistan_2004,4,0,9,0,1,0,0,3,0,1,0,3,0,6
Afghanistan_2004,4,0,10,0,1,0,0,1,0,0,0,0,-1,1
Afghanistan_2004,5,0,0,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,1,0,0,2,0,1,2,0,1,1,1,3
Afghanistan_2004,5,0,1,1,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,5,0,2,0,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,5,0,3,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,3,1,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,4,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,4,1,0,2,0,0,0,0,0,2,2,2
Afghanistan_2004,5,0,4,3,0,0,0,0,0,0,0,2,2,2
Afghanistan_2004,5,0,4,4,1,1,1,1,0,1,1,3,2,4
Afghanistan_2004,5,0,5,0,0,1,0,0,1,0,0,1,2,2
Afghanistan_2004,5,0,5,2,3,1,1,2,1,1,0,1,-1,4
Afghanistan_2004,5,0,5,3,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,6,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,7,0,0,0,0,0,0,0,0,4,4,4
Afghanistan_2004,5,0,8,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,9,0,0,0,0,2,1,0,0,2,1,4
Afghanistan_2004,5,0,10,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,10,3,0,1,0,0,1,0,0,1,1,1
Afghanistan_2004,5,0,11,0,0,0,0,0,1,0,0,0,1,1
Afghanistan_2004,5,0,11,3,1,0,0,1,1,1,0,1,0,2
Afghanistan_2004,5,0,12,0,3,3,0,0,4,3,3,4,1,4
Afghanistan_2004,5,0,13,0,0,0,0,0,1,0,0,1,2,2
Afghanistan_2004,5,0,14,0,2,0,1,3,1,3,0,6,3,9
Afghanistan_2004,5,0,15,0,1,2,0,4,0,0,0,2,-2,6
Afghanistan_2004,5,0,16,0,0,0,0,0,0,0,0,1,1,1
Afghanistan_2004,5,0,17,0,2,1,1,5,1,2,1,4,-1,9
Afghanistan_2004,5,0,18,0,0,0,0,1,0,0,0,1,0,2
