doc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,n,country,year,unit_scheme,sentiment_per_token
Afghanistan_2004,200,252,56,281,173,127,85,511,333,875,Afghanistan,2004,article,0.38057142857142856
Albania_2008,233,363,76,345,189,147,96,730,525,1203,Albania,2008,article,0.43640897755610975
Algeria_2008,110,307,51,201,165,113,95,633,508,929,Algeria,2008,article,0.5468245425188375
Andorra_1993,89,253,56,188,134,77,74,524,423,770,Andorra,1993,article,0.5493506493506494
Angola_2010,428,629,149,565,409,263,153,1309,1065,2152,Angola,2010,article,0.49488847583643125
Antigua_and_Barbuda_1981,605,764,222,891,281,474,163,1122,540,2375,Antigua and Barbuda,1981,numbered_provision,0.22736842105263158
Argentina_1994,181,259,148,240,241,182,90,527,276,965,Argentina,1994,article,0.2860103626943005
Armenia_2005,241,268,64,411,189,164,105,717,518,1218,Armenia,2005,article,0.42528735632183906
Australia_1985,144,212,27,213,132,120,57,543,360,786,Australia,1985,numbered_provision,0.4580152671755725
Austria_2009,586,1673,178,1050,921,987,756,1958,1728,3864,Austria,2009,article,0.4472049689440994
Azerbaijan_2009,306,319,73,362,235,142,120,695,476,1201,Azerbaijan,2009,article,0.39633638634471274
Bahamas_2002,623,828,240,903,279,511,181,1452,853,2778,Bahamas,2002,numbered_provision,0.3070554355651548
Bahrain_2002,111,284,33,167,175,88,68,489,395,751,Bahrain,2002,article,0.525965379494008
Bangladesh_2011,395,550,118,580,305,275,126,898,574,1747,Bangladesh,2011,numbered_provision,0.32856325128792213
Barbados_2007,635,832,257,925,277,476,160,1338,651,2573,Barbados,2007,numbered_provision,0.25301204819277107
Belarus_2004,175,270,46,282,145,139,91,500,302,891,Belarus,2004,article,0.3389450056116723
Belgium_2012,157,243,50,305,204,146,54,477,323,877,Belgium,2012,article,0.36830102622576966
Belize_2001,620,886,208,864,344,514,223,1476,845,2749,Belize,2001,numbered_provision,0.3073845034558021
Benin_1990,219,339,60,309,185,135,122,730,589,1171,Benin,1990,article,0.5029888983774552
Bhutan_2008,192,269,52,271,186,119,80,566,376,944,Bhutan,2008,article,0.3983050847457627
Bolivia_2009,485,1139,210,683,868,372,284,1892,1784,3276,Bolivia,2009,article,0.5445665445665445
Bosnia_Herzegovina_2009,81,103,39,94,80,36,34,229,154,342,Bosnia Herzegovina,2009,article,0.4502923976608187
Botswana_2002,510,611,174,763,215,406,115,1336,793,2310,Botswana,2002,numbered_provision,0.3432900432900433
Brazil_2014,699,1799,642,1181,1236,990,641,2544,1732,4797,Brazil,2014,article,0.3610589952053367
Brunei_1984,132,444,54,236,114,131,66,848,580,1138,Brunei,1984,numbered_provision,0.5096660808435852
Bulgaria_2007,213,336,66,308,208,139,83,731,571,1195,Bulgaria,2007,article,0.47782426778242676
Burkina_Faso_2012,125,237,44,234,149,113,75,544,387,857,Burkina Faso,2012,article,0.4515752625437573
Burundi_2005,286,485,95,438,304,165,119,962,775,1584,Burundi,2005,article,0.48926767676767674
Cambodia_1999,102,229,67,171,165,131,80,569,389,818,Cambodia,1999,article,0.47555012224938875
Cameroon_2008,63,203,25,124,121,70,49,541,440,734,Cameroon,2008,article,0.5994550408719346
Canada_2011,152,264,61,220,152,163,61,573,339,935,Canada,2011,numbered_provision,0.3625668449197861
Cape_Verde_1992,529,729,193,803,526,417,283,1507,1095,2690,Cape Verde,1992,article,0.4070631970260223
