doc,country,year,source_filename,source_url,title_line,char_len,line_count,n_preamble,n_title,n_part,n_chapter,n_section,n_article,n_numbered,n_share_line,unit_scheme,div1_scheme,div2_scheme
Afghanistan_2004,Afghanistan,2004,Afghanistan_2004.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Afghanistan_2004.txt,Afghanistan 2004,66806,453,1,0,0,12,0,162,0,175,article,chapter,body
Albania_2008,Albania,2008,Albania_2008.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Albania_2008.txt,Albania 1998 (rev. 2008),86022,792,1,0,18,12,0,181,0,209,article,part+chapter,chapter
Algeria_2008,Algeria,2008,Algeria_2008.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Algeria_2008.txt,Algeria 1963 (rev. 2008),66590,658,1,4,0,10,0,182,0,197,article,title+chapter,chapter
Andorra_1993,Andorra,1993,Andorra_1993.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Andorra_1993.txt,Andorra 1993,55687,412,1,9,0,11,0,107,0,134,article,title+chapter,chapter
Angola_2010,Angola,2010,Angola_2010.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Angola_2010.txt,Angola 2010,175148,1393,1,8,0,19,20,244,0,248,article,title+chapter,chapter+section
Antigua_and_Barbuda_1981,Antigua and Barbuda,1981,Antigua_and_Barbuda_1981.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Antigua_and_Barbuda_1981.txt,Antigua and Barbuda 1981,214275,1118,1,0,14,10,0,0,577,135,numbered_provision,part+chapter,chapter
Argentina_1994,Argentina,1994,Argentina_1994.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Argentina_1994.txt,"Argentina 1853 (reinst. 1983, rev. 1994)",82255,453,1,2,2,15,4,130,0,150,article,title+part+chapter,chapter+section
Armenia_2005,Armenia,2005,Armenia_2005.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Armenia_2005.txt,Armenia 1995 (rev. 2005),86487,638,1,0,0,9,0,144,0,153,article,chapter,body
Australia_1985,Australia,1985,Australia_1985.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Australia_1985.txt,Australia 1901 (rev. 1985),81224,519,1,0,5,8,0,0,158,147,numbered_provision,part+chapter,chapter
Austria_2009,Austria,2009,Austria_2009.txt,https://raw.githubusercontent.com/marcomorucci/Clustering-Constitutions/master/constitutions/Austria_2009.txt,"Austria 1920 (reinst. 1945, rev. 2009)",275162,1207,0,0,0,9,19,152,0,247,article,chapter,section
