term_str,PC0,PC1,PC2,PC3,PC4
000,-7.94687342250075e-07,-8.425176492070677e-06,-4.9863167276354545e-06,-1.6940695633099877e-07,9.664546988579067e-07
100,-1.4497658205929959e-06,-9.457923797541298e-07,-2.207195489851389e-06,-1.0392292488400745e-06,2.102307500730547e-07
101,-1.216689845625977e-06,-2.192175182577227e-07,-1.487079246501e-06,-1.0166146859398336e-06,8.497723373693974e-08
102,-6.419818031898077e-07,7.465998953578554e-08,-2.7711591060736685e-06,-7.324007327585055e-07,-2.091061778014776e-06
103,-6.2086694962088e-07,-8.460769767084717e-07,-2.2095479707709774e-06,-5.41090261975006e-07,-9.26879548345923e-07
104,1.790094233249749e-07,3.59465435902108e-06,-1.1663248243083784e-06,-3.993225112737526e-07,-1.7217913223582609e-06
105,-1.5366108870947593e-06,2.5033673303413622e-06,-1.27904129464244e-06,-1.5975168297041596e-06,-9.67886510054791e-07
106,-7.912134029574426e-07,4.056627506061409e-07,-2.3911812983695437e-06,-8.147463912308485e-07,-2.063330224196742e-06
107,-1.001244836580616e-06,1.147266191969116e-06,-7.07971446406913e-07,-1.1953503824470884e-06,-1.7099717916246387e-06
108,-1.6668306683487166e-06,3.1698608652884674e-06,-5.546896663398815e-07,-6.244768633058691e-07,-1.3047553326862802e-06
109,5.80597460596665e-08,-2.3504061810705531e-07,-2.499551903089054e-06,-7.62005393651712e-07,-1.8767138008831234e-06
110,-1.5549774121378416e-06,3.9104223194170714e-06,-7.987642473298629e-07,-2.0524991819275817e-06,-8.885660035811032e-07
111,2.454758513091126e-07,3.5015971259379434e-06,-1.6897672314914468e-06,-1.7534947186029106e-06,-1.6900597372581395e-06
112,-5.769446028172868e-07,4.6691559844366486e-06,-6.635158495027122e-07,3.2287994143060136e-06,-5.03053673346414e-07
113,-1.5673928787723604e-06,2.272693708078775e-06,-1.7840293925298493e-06,-1.10886357009801e-06,-1.834214464589661e-06
114,-1.416406455716301e-06,-9.899439355157493e-07,-1.8873277469688706e-06,-1.1911844359660556e-06,8.579566070573373e-07
115,3.949949545628306e-06,-7.207430239866508e-07,-1.9106397332443364e-06,-9.95044421694951e-07,-2.621999633034836e-07
116,-1.56579835453626e-06,1.3538247278991488e-06,-1.343369493359716e-06,-3.8538163528924177e-07,-1.8880013553949163e-08
117,3.4515735561838255e-06,1.999481201427613e-06,-9.027531136228601e-07,-2.183663741528093e-07,-2.3994550947312184e-07
118,-5.12934519360199e-07,1.6466363543561562e-06,-1.826072017497743e-06,-1.266903446888161e-06,-1.444483825089394e-06
119,-9.952720996518354e-07,-6.99276402854899e-07,-2.6285922425399455e-06,4.3423858049713315e-07,-1.5594916603314265e-06
120,-1.3571985042656253e-06,-6.491252779698069e-07,-2.464461652554906e-06,-9.376369767736255e-07,-4.3338816953321404e-07
121,-1.6642864513071678e-06,7.921710995393943e-07,-2.3282331522573023e-06,-4.668398154366291e-07,-1.0718071680958867e-06
124,-1.3093483250280925e-06,1.8803193943732773e-06,-6.67536449263981e-07,-1.1171025770923378e-06,-3.451270879170447e-06
125,3.255846428077378e-07,-1.9176305578479766e-07,-2.7418910207001875e-06,-8.605516264668139e-07,-1.8812223898380244e-06
127,-1.1357035420695496e-06,2.2774206079780227e-06,-2.380196653687612e-06,-3.8619233896850176e-07,-2.4984826869788156e-06
128,-1.0196677865724738e-06,-1.5170352556540894e-06,-2.324493628235072e-06,-7.25007159794085e-07,-1.1974545570647033e-06
129,-6.738534950334763e-07,-1.6543792935207217e-08,-1.466938705120777e-06,1.5378743340342986e-07,-9.130612803240981e-07
130,-1.3030674363812386e-06,-1.3286765528321761e-06,-2.8873479282722983e-06,3.8021599279067663e-07,-1.4179112689320738e-06
131,-1.0660228675829205e-06,1.9259734827459827e-07,-2.0266462768886273e-06,1.8054949453138178e-07,-1.1769899580184205e-06
134,-1.1349674180012935e-06,5.231736709758394e-07,-2.827991961275448e-06,-1.2911980264889725e-07,-7.252910722774425e-07
16,-9.106365647035926e-07,-2.586162931299952e-07,1.006260401568769e-07,-6.210299089998957e-08,-1.7465153143717882e-06
17,-7.135229887461686e-07,-1.5088955880669446e-06,1.0808385337132547e-06,-4.484609274207274e-07,1.0449526514690947e-06
19,-3.154943788064117e-07,-7.230746515085096e-07,-1.482772100499844e-06,-1.4930082481370747e-06,5.634185579307634e-07
1948,-3.607591185608345e-07,5.247486260454989e-06,-1.0430900446502432e-06,-2.724168025378328e-06,-9.924068263634588e-08
1991,-7.146159011256503e-07,-1.540156896431644e-06,-2.5430953766622807e-06,-2.9581896542281816e-07,-1.0617600519322254e-06
20,-9.359071805954598e-08,-1.914562564105397e-06,-1.1677860451138902e-07,-6.965035939682495e-07,-5.681240294797508e-07
21,-2.8037961326872546e-08,5.897868545866251e-07,-1.0316742518105208e-06,1.5313675918050846e-06,-1.6336883071788086e-06
22,-1.7973004121300343e-06,1.067405509737405e-06,-1.9604377472161227e-06,-1.991976381542499e-07,-2.705752486589067e-06
23,7.210560234051032e-08,1.5111656276920153e-06,-7.232517481827986e-07,7.177411971225423e-07,-3.271364322784298e-07
24,-4.04006307331745e-07,-8.247533876676223e-08,-1.638399379486104e-06,2.7987553530404254e-06,-9.506369773525594e-07
25,-5.7582366141313197e-08,-8.636180571331011e-07,-1.651588888729814e-06,-7.383820129266749e-07,-1.0557703654920748e-06
26,-2.7130350185549215e-07,3.0109543797701493e-06,-1.2997979582133882e-06,-1.9325597146509655e-07,-8.371028179018259e-07
27,-1.1993711201952677e-06,2.142851201853922e-06,-7.910039468633189e-07,2.2965348724615e-06,-5.652028246661789e-07
28,-4.821166668759759e-07,1.5430993896069932e-06,-1.2832147037171933e-06,-1.386394901997991e-06,-2.1766283959270363e-06
29,-9.502489722787787e-07,3.6052049104895622e-06,-7.683806280609881e-07,-1.8241686403090575e-06,-5.872569060595612e-07
31,-8.521796697285842e-08,3.919157655660705e-06,-1.3489264311337895e-06,-1.2518292812362122e-07,-1.4253700676421957e-06
32,-1.884257985524577e-06,5.4113369313393845e-06,-4.0205974303367185e-07,-1.494518763786276e-06,-1.355239896010919e-06
33,-1.560532829650721e-06,7.658573409326162e-06,8.281064116533491e-08,-2.8392061962525915e-06,-8.339750893276191e-07
34,-2.7989725372415247e-08,2.769244510640661e-06,-1.24005772058266e-06,-1.4909308406008607e-06,-1.0062477362495833e-06
35,9.27060195544227e-08,6.783036450104735e-07,-1.7511294123774858e-06,-1.0751490387440855e-06,-9.913989031070623e-07
36,-2.5226840433246836e-06,5.141755830491413e-06,-1.3462579422951468e-06,-1.364258004715305e-06,-3.041225329918501e-06
37,-1.8373374019285184e-06,2.939739263560609e-06,-1.1318710399491716e-06,-1.235822758167629e-06,-1.0736367154042423e-06
38,-1.5335205219229117e-06,3.9239635084591285e-06,-1.2442633744346122e-06,-1.732786437394513e-06,-1.6555258811184068e-06
39,-2.5621045863071895e-06,1.2103827442158732e-05,1.9362076345947113e-06,-5.2196098078095565e-06,2.0618656613003125e-06
40,-3.56115366625655e-07,8.374131846657118e-07,-1.755247456125991e-06,-1.3182406646161018e-06,-5.339629896865328e-07
41,-1.6290744018465141e-06,5.907966805227272e-06,-4.303232400163155e-07,-2.165417361779737e-06,-1.0629005184071253e-06
