,doc,country,year,PC0,PC1,country_for_map
0,Afghanistan_2004,Afghanistan,2004,-0.0001243496677436085,-0.00022744654564854156,Afghanistan
1,Albania_2008,Albania,2008,-0.00011350056568797641,-0.000696944995463608,Albania
2,Algeria_2008,Algeria,2008,-0.00015550447808130362,-0.0008299075438663849,Algeria
3,Andorra_1993,Andorra,1993,-0.00012373467490239115,-0.0005863011796918827,Andorra
4,Angola_2010,Angola,2010,-9.408212802071402e-05,-0.0005850849648112569,Angola
5,Antigua_and_Barbuda_1981,Antigua and Barbuda,1981,-0.0005140132598440364,0.003450206217056121,Antigua and Barbuda
6,Argentina_1994,Argentina,1994,-0.00020107399757708313,-0.0011154247731944946,Argentina
7,Armenia_2005,Armenia,2005,-7.800322876676885e-05,-0.0006294346506337683,Armenia
8,Australia_1985,Australia,1985,-0.00035498240435045194,0.0014847237455910965,Australia
9,Austria_2009,Austria,2009,0.0016938373199608637,-0.0005049807636055943,Austria
10,Azerbaijan_2009,Azerbaijan,2009,-9.098856920129577e-05,-0.0005775878822913817,Azerbaijan
11,Bahamas_2002,Bahamas,2002,-0.00025769955762949316,0.0008384687771767927,Bahamas
12,Bahrain_2002,Bahrain,2002,-0.00012086038297730165,-0.0009231246316067846,Bahrain
13,Bangladesh_2011,Bangladesh,2011,-0.00023452909703577075,0.00040359795508294026,Bangladesh
14,Barbados_2007,Barbados,2007,-0.00041682277987390196,0.0026567479836408867,Barbados
15,Belarus_2004,Belarus,2004,-0.00011104861679697143,-0.0002947146564491733,Belarus
16,Belgium_2012,Belgium,2012,-0.00015472802286943508,-6.214523405115359e-06,Belgium
17,Belize_2001,Belize,2001,-0.0004405853328062775,0.0028545835984880906,Belize
18,Benin_1990,Benin,1990,-0.00012438344736529449,-0.0006132618113898484,Benin
19,Bhutan_2008,Bhutan,2008,-0.00023576280533456884,0.0002074250152331093,Bhutan
20,Bolivia_2009,Bolivia,2009,-8.916674031223874e-05,-0.0007498296069799749,Bolivia
21,Bosnia_Herzegovina_2009,Bosnia Herzegovina,2009,0.0016289627327712795,-0.00030973554999575115,Bosnia Herzegovina
22,Botswana_2002,Botswana,2002,-0.00042888186189079906,0.002426138214948764,Botswana
23,Brazil_2014,Brazil,2014,1.2503480794103556e-05,-0.0007922262829288094,Brazil
24,Brunei_1984,Brunei,1984,-0.000471888187748306,0.0025094054191270483,Brunei
25,Bulgaria_2007,Bulgaria,2007,-9.500204452674164e-05,-0.0006398083172866435,Bulgaria
26,Burkina_Faso_2012,Burkina Faso,2012,-0.00012473650603857475,-0.0005258595718619062,Burkina Faso
27,Burundi_2005,Burundi,2005,-0.00015577256323333577,-0.0004907972334124724,Burundi
28,Cambodia_1999,Cambodia,1999,-0.00019387567155916004,-0.00036213958476187785,Cambodia
29,Cameroon_2008,Cameroon,2008,-0.00017873330132215276,-0.00037972936948397394,Cameroon
30,Canada_2011,Canada,2011,-0.00031998569948277276,0.0010230147773964884,Canada
31,Cape_Verde_1992,Cape Verde,1992,-8.575669901261073e-05,-0.0006803314355232231,Cape Verde
32,Central_African_Republic_2010,Central African Republic,2010,-0.0001258415326796085,-0.0006536382266689884,Central African Republic
33,Chad_2005,Chad,2005,-0.0001243852426148231,-0.0006599004331462407,Chad
34,Chile_2012,Chile,2012,-0.00014948165700518124,-0.0007858063343451998,Chile
35,China_2004,China,2004,-0.0003050685033091203,-0.0036367306161079007,China
36,Colombia_2005,Colombia,2005,-0.00011487367703631217,-0.0009387214102936967,Colombia
37,Comoros_2009,Comoros,2009,-0.0001372981824405122,-0.0007042966868194343,Comoros
38,Congo_2001,Congo,2001,-0.00015361824337649252,-0.000560499894646703,Congo
39,Costa_Rica_2011,Costa Rica,2011,-0.00011146053835339847,-0.0006564876387015571,Costa Rica
40,Cote_DIvoire_2009,Cote DIvoire,2009,-0.0001246189208213446,-0.0006145437642384578,Cote DIvoire
41,Croatia_2001,Croatia,2001,-0.00015714112795246123,-0.0002566228418470919,Croatia
42,Cuba_2002,Cuba,2002,-0.00010495010659357642,-0.0006976588197638884,Cuba
43,Cyprus_2013,Cyprus,2013,-0.00014265163139222901,-0.00016878871484632933,Cyprus
44,Czech_Republic_2002,Czech Republic,2002,-0.00010361875057050517,-0.0005634781779965916,Czech Republic
45,Democratic_Republic_of_the_Congo_2011,Democratic Republic of the Congo,2011,-0.00015395560035523398,-0.0005947470587139636,Democratic Republic of the Congo
46,Denmark_1953,Denmark,1953,-0.00019580180065916845,-7.66267480935611e-05,Denmark
47,Djibouti_2010,Djibouti,2010,-0.00012252926528117639,-0.0006358657442626142,Djibouti
48,Dominica_1984,Dominica,1984,-0.0004710706350296452,0.0031775455092474636,Dominica
49,Dominican_Republic_2010,Dominican Republic,2010,-0.0001380731705100174,-0.0007985154115470763,Dominican Republic
50,East_Timor_2002,East Timor,2002,-0.00016379882337095645,-0.0004039668523565612,East Timor
51,Ecuador_2008,Ecuador,2008,-0.0001014094365664012,-0.0007632859541599638,Ecuador
52,Egypt_2014,Egypt,2014,-0.00014418230440533855,6.272576829645306e-05,Egypt
53,El_Salvador_2003,El Salvador,2003,-0.00011206111521050216,-0.000683383678270083,El Salvador
54,Equatorial_Guinea_1995,Equatorial Guinea,1995,-0.00014231577344280414,-0.0005051502921644418,Equatorial Guinea
55,Eritrea_1997,Eritrea,1997,-0.0001349236150295978,-0.000584788283164259,Eritrea
56,Estonia_2003,Estonia,2003,-0.00011173953637970645,-0.0005209116825648893,Estonia
57,Ethiopia_1994,Ethiopia,1994,0.001869336863640405,0.0003521383531811216,Ethiopia
58,Fiji_2013,Fiji,2013,-0.00039724136296095437,0.0030960476845230075,Fiji
59,Finland_2011,Finland,2011,-0.000192841518601923,-0.00014755302864113954,Finland
60,France_2008,France,2008,-0.00017080230599032166,-0.00016648287390695727,France
61,Gabon_1997,Gabon,1997,-0.00015561422492593632,-0.0005303196696653832,Gabon
62,Gambia_2004,Gambia,2004,-0.00026036695599695846,0.0008071035697481678,Gambia
63,Georgia_2004,Georgia,2004,-0.00018638486410191838,-0.00013988810081548282,Georgia
64,German_Federal_Republic_2012,German Federal Republic,2012,0.0033067975073641153,-0.0003175407524391536,German Federal Republic
65,Ghana_1996,Ghana,1996,-0.00022059309082065795,0.0004669920857093565,Ghana
66,Greece_2008,Greece,2008,-0.0001955091652664554,-0.0001538701051650043,Greece
67,Grenada_1992,Grenada,1992,-0.0005250823362021662,0.003594671705765104,Grenada
68,Guatemala_1993,Guatemala,1993,-0.00010855683482766957,-0.001017149674040106,Guatemala
69,Guinea_2010,Guinea,2010,-0.0001214133476923158,-0.0006429727838921805,Guinea
70,Guinea_Bissau_1991,Guinea Bissau,1991,-0.0001346162548556895,-0.0007586777602161613,Guinea Bissau
71,Guyana_1995,Guyana,1995,-0.0002466978266103053,9.753605848080475e-05,Guyana
72,Haiti_2012,Haiti,2012,-0.00013142641653930215,-0.0005916134251831962,Haiti
73,Honduras_2012,Honduras,2012,-0.00016824896312546216,-0.0010953962968402288,Honduras
74,Hungary_2011,Hungary,2011,-0.0001779756637561578,-7.759627384088033e-05,Hungary
75,Iceland_1999,Iceland,1999,-0.00012274127471026205,-0.000584642337649422,Iceland
76,India_2012,India,2012,-0.00014575099694992796,0.0002790427337240517,India
77,Indonesia_2002,Indonesia,2002,-0.00013253948476353846,-0.0006319035766878732,Indonesia
78,Iran_1989,Iran,1989,-0.00013126931026356378,-0.0005713701686922228,Iran
79,Iraq_2005,Iraq,2005,0.00014032807315041232,-0.0005419645321107862,Iraq
80,Ireland_2012,Ireland,2012,-0.0001587960762216192,0.0001072652325966915,Ireland
81,Israel_2013,Israel,2013,-0.00019883494883700048,0.00047373553169963227,Israel
82,Italy_2012,Italy,2012,-0.00014125280794280396,-0.00032920829407942243,Italy
83,Jamaica_1994,Jamaica,1994,-0.0004604774820356785,0.0034494783573878066,Jamaica
84,Japan_1946,Japan,1946,-0.0001251551331321131,0.0003351458433537995,Japan
85,Jordan_2011,Jordan,2011,-0.00016809209753859962,0.00022838170624263484,Jordan
86,Kazakhstan_1998,Kazakhstan,1998,-0.00014904747262400964,-0.0004308001478140098,Kazakhstan
87,Kenya_2010,Kenya,2010,-0.00019447642142829275,0.00035710568590849946,Kenya
88,Kiribati_1995,Kiribati,1995,-0.00036898074163434045,0.0018649835600841192,Kiribati
89,Kosovo_2008,Kosovo,2008,-9.708017776024038e-05,-0.0006487844007957105,Kosovo
90,Kuwait_1992,Kuwait,1992,-0.00012266251742043787,-0.0006168499357644756,Kuwait
91,Kyrgyz_Republic_2010,Kyrgyz Republic,2010,-0.00010246983082183547,-0.0006468586450896313,Kyrgyz Republic
92,Laos_2003,Laos,2003,-4.287177907714066e-05,-0.000662453352712825,Laos
93,Latvia_2007,Latvia,2007,-0.00011630048306773068,-0.0005394813296869133,Latvia
94,Lebanon_2004,Lebanon,2004,-0.00011524436382556109,-0.0009069675837080181,Lebanon
95,Lesotho_1998,Lesotho,1998,-0.0004553746396732125,0.002556253141778007,Lesotho
96,Liberia_1986,Liberia,1986,-0.0001693048445110437,-0.00026082973061191663,Liberia
97,Libya_2011,Libya,2011,-0.00019198116588444843,-0.0012376774289805596,Libya
98,Liechtenstein_2003,Liechtenstein,2003,-8.451063681028284e-05,-0.0005551907571745627,Liechtenstein
99,Lithuania_2006,Lithuania,2006,-9.448397874298707e-05,-0.0005474234928451484,Lithuania
100,Luxembourg_2009,Luxembourg,2009,-0.00013130990998392055,-0.0008308138205064527,Luxembourg
101,Macedonia_2011,Macedonia,2011,-8.598977165655368e-05,-0.0006159913909086186,Macedonia
102,Madagascar_2010,Madagascar,2010,-0.00014628757745325456,-0.000587812609287712,Madagascar
103,Malawi_1999,Malawi,1999,-0.0003646924226150699,0.0014093408796217847,Malawi
104,Malaysia_1996,Malaysia,1996,0.00342917644147999,0.0009631682427854302,Malaysia
105,Maldives_2008,Maldives,2008,-0.00021191547350283248,-0.001345162359511509,Maldives
106,Mali_1992,Mali,1992,-0.0001286612675025848,-0.0006050008154616811,Mali
107,Malta_2011,Malta,2011,-0.0002286568944108809,0.0007581519903367372,Malta
108,Marshall_Islands_1995,Marshall Islands,1995,-0.00022154095781645153,0.00033245099583485856,Marshall Islands
109,Mauritania_2012,Mauritania,2012,-0.00015254982953613816,-0.0005205648576175166,Mauritania
110,Mauritius_2011,Mauritius,2011,-0.0003918450851429456,0.0019579811626415275,Mauritius
111,Mexico_2007,Mexico,2007,0.0007716198811778874,-0.0006922688901368154,Mexico
