term_str,n,p,i,h,df,idf,dfidf,n_chars,ngram_length,porter_stem,max_pos,max_pos_group,n_pos,cat_pos,n_pos_group,cat_pos_group,stop,tfidf_mean,dp,di,dh
000,210,5.0219194828475145e-05,14.28140157657766,0.0007172004881978455,47,2.030373649043519,95.42756150504539,3,1,000,CD,NUM,1,CD,1,NUM,0,1.0166328660520867,0.24479166666666666,2.030373649043519,0.4970185495054447
100,131,3.132721201204878e-05,14.962224092706332,0.0004687247663239955,54,1.8300749985576876,98.82404992211514,3,1,100,CD,NUM,1,CD,1,NUM,0,0.9161095403931404,0.28125,1.8300749985576876,0.5147085933443496
101,64,1.530489747153528e-05,15.995647094243783,0.00024481173876826233,44,2.1255308820838588,93.52335881168979,3,1,101,CD,NUM,1,CD,1,NUM,0,1.0637558267018383,0.22916666666666666,2.125530882083859,0.4871008271442177
102,85,2.0326816954382796e-05,15.586256158106082,0.00031681897592994397,37,2.3755091350922064,87.89383799841164,3,1,102,CD,NUM,1,CD,1,NUM,0,1.1889090215538212,0.19270833333333334,2.3755091350922064,0.4577804062417273
103,70,1.6739731609491715e-05,15.866364077298815,0.0002655986762724628,45,2.0931094043914813,94.18992319761666,3,1,103,CD,NUM,1,CD,1,NUM,0,1.047536945014765,0.234375,2.0931094043914813,0.49057251665425344
104,88,2.1044234023361013e-05,15.536215475606486,0.0003269477543060259,41,2.2274104961030723,91.32383034022597,3,1,104,CD,NUM,1,CD,1,NUM,0,1.1148082766939826,0.21354166666666666,2.2274104961030727,0.475644949688677
105,81,1.937026086241184e-05,15.655797091359158,0.00030325687366861544,42,2.192645077942396,92.09109327358063,3,1,105,CD,NUM,1,CD,1,NUM,0,1.0973884149860742,0.21875,2.192645077942396,0.4796411107998991
106,62,1.4826619425549805e-05,16.041450783856906,0.00023784048580593393,36,2.415037499278844,86.94134997403839,3,1,106,CD,NUM,1,CD,1,NUM,0,1.2086385414474392,0.1875,2.415037499278844,0.45281953111478324
107,64,1.530489747153528e-05,15.995647094243783,0.00024481173876826233,39,2.299560281858908,89.68285099249741,3,1,107,CD,NUM,1,CD,1,NUM,0,1.150821402059146,0.203125,2.299560281858908,0.46709818225259064
108,72,1.7218009655477193e-05,15.82572209280147,0.0002724874357987545,44,2.1255308820838588,93.52335881168979,3,1,108,CD,NUM,1,CD,1,NUM,0,1.0637412374634512,0.22916666666666666,2.125530882083859,0.4871008271442177
