doc,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
Afghanistan_2004,3.160556331202832e-05,3.160556324003521e-05,3.1605563307830726e-05,0.2309795811885003,3.160556332419331e-05,0.022919596093997907,3.160556257902667e-05,3.160556339409286e-05,3.160556335022657e-05,3.160556310626973e-05,3.160556343002646e-05,3.160556321266187e-05,3.160556332950175e-05,0.16416931013998373,3.160556321513891e-05,0.42590067634691636,0.08515358613567717,0.017773060450358535,0.052693317322664544,3.160556310060664e-05
Albania_2008,2.0721094592958954e-05,0.039726005077686685,2.072109456185459e-05,0.05091284991253418,2.0721094556340138e-05,2.072109455673133e-05,2.0721094073775652e-05,2.072109449271788e-05,2.0721094502535558e-05,2.0721094479418016e-05,0.060684665419110585,0.031425131065697075,0.050106507770044814,0.036243679288967004,2.0721094587293063e-05,0.7306317872372946,2.072109456397709e-05,2.0721094588715865e-05,2.0721094615333516e-05,2.0721094493448802e-05
Algeria_2008,3.144654161730604e-05,3.144654159273652e-05,3.144654170972677e-05,0.29355782446252904,3.1446541723107314e-05,3.144654170166541e-05,3.144654088051749e-05,3.144654178134465e-05,3.1446541639954435e-05,3.1446541492598594e-05,3.144654153680397e-05,3.144654163863391e-05,0.40261601812776454,0.09231411617560759,3.144654156465129e-05,0.21100889656884658,3.144654162300496e-05,3.1446541509303574e-05,3.14465415983844e-05,3.1446541642599055e-05
Andorra_1993,0.010240915678023514,3.7850114504919935e-05,3.785011449571763e-05,0.27955859106927483,3.785011449217744e-05,3.785011433360491e-05,3.7850113550359394e-05,3.785011443046138e-05,3.785011449405894e-05,3.785011422621053e-05,0.0851869170787449,3.785011446757087e-05,0.16977319749457476,0.13356303675033346,3.785011451286841e-05,0.1862863886119553,3.785011445821271e-05,0.07014343421935769,3.785011445051869e-05,0.06479331772531899
Angola_2010,0.004515403219620508,1.0972130996268082e-05,1.0972131064949122e-05,0.0412225797317427,1.0972131054217713e-05,1.0972131020735285e-05,1.0972130787804051e-05,1.0972130981702773e-05,1.0972131029408519e-05,1.0972130983077121e-05,1.0972131054030181e-05,1.097213103593168e-05,0.04681844979117163,0.3736365625997722,1.0972131028460923e-05,0.1764101602344344,0.009008111997964542,1.0972131035854275e-05,0.03920896140452721,0.30904810544869427
Antigua_and_Barbuda_1981,9.365049799365165e-06,9.365049806619679e-06,9.365049834488117e-06,9.36504986047262e-06,9.365049854056084e-06,9.365049824280268e-06,9.365049634766484e-06,9.365049847248615e-06,9.365049842947238e-06,9.365049818440281e-06,9.365049805769343e-06,9.365049914311366e-06,9.365049853405767e-06,9.365049844095035e-06,0.9998220640532736,9.365049860219194e-06,9.365049836991094e-06,9.365049826329368e-06,9.365049830054778e-06,9.36504983275855e-06
Argentina_1994,0.02130409433065067,0.06316397096646459,2.333177844896087e-05,0.11444015102393809,2.3331778447669834e-05,2.3331778415669593e-05,2.333177788148572e-05,0.06218783037011939,0.05252513726812211,2.333177835341469e-05,0.02660148260164067,2.333177845240621e-05,0.05555161936594573,0.5054782020926445,2.333177843466333e-05,0.04072228858443008,2.3331778377121093e-05,0.05779190561227918,2.333177847447976e-05,2.3331778479105534e-05
Armenia_2005,2.271694746801959e-05,2.271694731067632e-05,0.009152636825720714,0.1005803408950767,0.035664508326495266,2.2716947264663066e-05,2.2716946842354e-05,2.271694741890037e-05,2.2716947386376208e-05,2.271694732817608e-05,2.2716947390977325e-05,2.2716947356224935e-05,2.2716947423211885e-05,2.271694742540891e-05,2.2716947339532e-05,0.8428660634112805,2.2716947384470553e-05,0.011395696331316664,2.271694731568616e-05,2.2716947455691648e-05
Australia_1985,2.793296141971935e-05,0.2458497262862065,2.793296143329964e-05,2.793296140807499e-05,2.7932961496195768e-05,2.7932961552252083e-05,2.7932960893865344e-05,0.10319309243156191,0.5217169047274284,2.7932961431311374e-05,2.7932961379673423e-05,2.7932961347258055e-05,2.7932961331885322e-05,2.793296135118673e-05,0.12879334917290378,2.79329613853016e-05,2.793296136098902e-05,2.7932961312421027e-05,2.7932961495800966e-05,2.7932961300151934e-05
Austria_2009,6.571165869569583e-06,0.07277589611589153,0.790930620552331,6.571165881970609e-06,6.571165867584775e-06,6.571165858963439e-06,6.571165724802494e-06,6.571165851311974e-06,6.571165889194137e-06,6.571165861562191e-06,6.57116584803671e-06,0.09723678778478505,0.010816256982481967,6.571165880982712e-06,0.012557865930773031,0.002608026199169912,6.571165856725391e-06,0.0028153066025276324,6.571165852508805e-06,0.010180385841796634
Azerbaijan_2009,2.294630623420479e-05,0.024478286857516813,2.2946306206587013e-05,2.2946306183939216e-05,2.2946306210089542e-05,2.2946306158929457e-05,2.294630564480144e-05,2.294630602507921e-05,2.294630620084189e-05,2.2946306037712008e-05,2.294630620213667e-05,2.2946306323451536e-05,0.0573627643643294,2.294630620069065e-05,0.0062330226696912395,0.8606651277905699,2.2946306199132537e-05,0.05091660372566478,2.294630619745062e-05,2.294630620272734e-05
Bahamas_2002,9.998000585848518e-06,9.99800062663945e-06,9.99800057100127e-06,9.998000588445205e-06,9.998000616611354e-06,9.9980005587359e-06,9.998000399923189e-06,9.998000638930449e-06,0.042732065984834665,9.998000584111811e-06,9.998000743957404e-06,0.012198655772568779,9.99800057838959e-06,9.998000566370442e-06,0.9448993122326032,9.998000561779582e-06,9.99800057881922e-06,9.998000615310787e-06,9.998000589199559e-06,9.99800058928022e-06
Bahrain_2002,3.146633171981486e-05,3.146633176043892e-05,0.10011077297016921,0.6406309029595267,3.146633185584061e-05,3.146633184009806e-05,3.14663310258173e-05,3.1466331655684015e-05,0.07367144822388635,3.1466331628556505e-05,3.146633179067327e-05,0.029868636664804903,0.01189903503011916,0.038922525253435335,3.146633172599112e-05,0.10448761658591009,3.1466331782411244e-05,3.1466331877146004e-05,3.1466331708019206e-05,3.1466331777623766e-05
Bangladesh_2011,1.3157895043422161e-05,1.3157894976679605e-05,1.3157895054221125e-05,0.033057851893347714,0.047696847665619525,1.3157895100456679e-05,1.3157894736848218e-05,1.315789505371555e-05,0.5726382955925836,1.3157895040794697e-05,0.2561662722713324,1.3157895060338634e-05,1.3157895053045196e-05,1.315789505149753e-05,0.0009491878250000228,0.0425117211859028,0.03811296939660218,0.001994937483054686,1.3157895025970016e-05,0.00672717984136001
Barbados_2007,1.0066438736970997e-05,1.0066438679303296e-05,1.0066438707917206e-05,1.0066438741445714e-05,1.0066438752482333e-05,1.0066438688474354e-05,1.0066438494064541e-05,1.0066438698069135e-05,1.006643874659505e-05,1.0066438694611782e-05,1.0066438854208651e-05,1.0066438710000751e-05,1.0066438668654486e-05,1.0066438725610474e-05,0.9998087376645348,1.0066438700305546e-05,1.0066438679515346e-05,1.0066438767847662e-05,1.006643871641908e-05,1.0066438702668024e-05
Belarus_2004,2.2401434297014683e-05,2.2401434336729476e-05,0.06802157634051213,0.05338596051091949,2.2401434240376263e-05,2.240143428851842e-05,2.2401433691766572e-05,2.2401434252108015e-05,2.2401434241942322e-05,2.2401434160077777e-05,2.2401434240437094e-05,2.2401434193744667e-05,2.24014342050244e-05,2.2401434263117522e-05,2.240143410527523e-05,0.8409942062608341,2.240143421037658e-05,2.2401434220755555e-05,2.2401434202965776e-05,0.03723983394058384
Belgium_2012,2.0416497076865325e-05,0.2327234148386103,2.0416497039198766e-05,0.2117003707128004,2.0416496947916407e-05,2.0416497028624864e-05,2.041649652920544e-05,2.0416496938965047e-05,0.025283265033636107,2.0416496954774338e-05,0.023076896797143066,0.25954272972459624,0.07758515401059735,2.041649704091726e-05,2.04164969983601e-05,0.0474986658943978,2.0416497018231783e-05,2.0416496912574025e-05,0.08731079385685936,0.03505412766487381
Belize_2001,9.157509374549561e-06,9.157509379469747e-06,9.157509400038627e-06,0.0038618923836423184,0.031816236134989975,9.157509360421541e-06,9.157509157513191e-06,9.157509357303535e-06,0.02380420843389396,9.1575093496646e-06,9.157509368225324e-06,9.157509359063024e-06,9.157509380901682e-06,9.157509401579443e-06,0.9294500223154167,9.157509381423435e-06,0.010930278091609505,9.15750939002523e-06,9.157509391057786e-06,9.157509396018684e-06
Benin_1990,3.0120482716822494e-05,3.0120482630901345e-05,3.0120482644879964e-05,0.180806198977876,3.0120482721154e-05,3.012048270470476e-05,3.012048192772548e-05,3.012048279591732e-05,0.020783658521364743,3.0120482554623484e-05,3.0120482800092077e-05,0.022010252639041553,0.6938387245459913,0.05410984810672924,3.012048276306077e-05,0.028029630452159546,3.0120482696039436e-05,3.012048264740262e-05,3.0120482639432173e-05,3.0120482595005814e-05
Bhutan_2008,2.5406504636114492e-05,2.54065045371099e-05,0.23113327626313157,2.5406504704551227e-05,0.26730723981668586,2.5519920519778062e-05,2.540650406505333e-05,0.018473063210207624,0.06607167128955027,2.5406504685642463e-05,2.540650460861001e-05,2.540650466483092e-05,0.007505015292578165,0.09258348339926409,0.10153160974763682,0.08009783940456551,0.13398536830566407,2.540650466538907e-05,0.0010572548089278614,2.5406504701081966e-05
Bolivia_2009,5.7058086448053285e-06,5.705808648341064e-06,5.705808652406379e-06,5.705808634949811e-06,5.705808631816954e-06,5.7058086573058696e-06,5.705808513068483e-06,5.705808621604077e-06,5.705808651787263e-06,5.70580861723093e-06,5.705808661724601e-06,5.705808653929984e-06,5.7058086523260595e-06,0.999891589635916,5.705808623007621e-06,5.705808648076422e-06,5.705808655868373e-06,5.705808646892562e-06,5.7058086299545286e-06,5.705808639086461e-06
