term_str,x,y
the,27.702814,-3.7196364
of,29.150784,-9.456869
and,5.326707,37.12691
to,-7.938191,-6.627111
in,-19.303358,-36.65168
a,-31.273453,-38.28473
or,-3.9714682,-13.247275
shall,-45.55239,-13.729033
be,-34.39841,-24.576101
by,-28.488049,-24.629608
for,-38.127937,28.035206
any,-36.173622,13.204156
is,-6.6350465,-38.160873
as,-17.557692,-39.70219
law,7.4284954,4.3415356
that,-23.573538,-36.87705
with,10.007572,9.378423
may,-46.971313,-14.378102
this,5.364798,-58.12938
on,1.3278247,-26.069727
not,-29.556616,-30.068333
president,36.716896,-0.19348031
state,52.54284,7.5404673
other,9.439407,-32.82325
court,32.735687,14.135913
constitution,21.997656,-57.979313
national,48.578857,2.7342198
such,-35.744743,-2.9466798
office,24.665602,-2.10248
public,27.655115,52.50614
person,-41.056747,-12.064911
which,-30.781427,-34.89426
from,-40.461678,-24.282278
his,-27.998005,23.808271
an,-19.843601,-40.90889
under,-2.6763892,-53.763737
it,-25.679718,-38.03128
republic,54.900486,23.989038
are,-39.806698,-19.81457
1,8.660432,-75.51008
assembly,49.047043,-7.5589294
parliament,49.219147,-9.452947
if,-14.53336,-33.013527
their,-29.721933,23.345161
government,46.550346,7.289078
members,43.069313,0.8497661
its,15.314653,0.487017
have,-38.993473,-15.581818
has,-39.79371,-16.088602
2,9.330779,-75.5882
at,2.0762572,-38.18245
all,22.694841,42.604027
b,17.149063,-47.21943
council,46.048157,5.220174
right,-51.460476,-17.662304
he,-48.64682,-27.740236
article,21.933582,-59.29972
provisions,3.4930964,-9.883508
member,34.710045,-3.1902668
who,-46.660088,-28.439962
section,21.961355,-59.22399
commission,36.87913,12.014133
no,-26.720018,-30.667847
act,2.1477904,-3.7217555
minister,36.645638,3.1068015
3,9.174689,-75.09985
rights,-18.412996,51.394176
accordance,-57.20548,-2.8384857
before,0.54928,-38.690907
within,17.907156,-30.250584
functions,25.811764,24.497063
than,43.747196,-29.739874
been,-42.129044,-18.872883
service,26.708708,13.740335
case,0.05416424,-7.731403
house,48.130463,-10.059631
authority,28.46038,18.348488
one,23.549704,-29.729986
subject,-4.649584,-53.425156
time,26.9428,-24.258974
after,2.3717592,-37.424866
election,25.414797,-12.925624
provided,-16.835772,-55.046833
4,9.717464,-75.34071
c,17.513092,-46.949028
persons,21.611649,49.14934
general,40.485355,7.3930435
will,-45.83955,-13.363295
exercise,-55.11827,6.45139
constitutional,24.650362,4.876032
power,27.053709,20.70763
laws,6.321817,3.2445333
appointed,-44.0033,-51.254757
order,-12.032458,-2.3568757
supreme,24.530073,5.4017835
justice,31.01878,6.8215566
force,36.380337,48.68688
elected,-43.284397,-52.4174
period,22.106468,-18.606617
federal,46.80196,21.012768
those,-21.20165,-36.617043
made,-38.600628,-53.02515
respect,-57.63532,-4.684934
so,-21.740393,-35.879105
powers,25.077776,25.946505
into,-15.171572,-25.768106
prime,35.5472,0.32122046
established,-18.25802,-55.48015
they,-36.814083,-28.350317
bill,7.3794384,-18.396051
years,35.75275,-28.700733
must,-45.80769,-13.752437
political,6.3649426,13.533743
judicial,52.64572,6.2420444
when,-14.175622,-32.87981
where,-14.5654745,-33.025547
subsection,21.741259,-55.677113
i,14.952299,-44.650654
upon,1.3121208,-26.07707
speaker,39.625122,-1.685076
following,-13.35234,-51.57911
people,14.392582,41.169422
only,-32.25169,-29.624622
without,-33.656998,-0.37571776
days,35.330135,-29.778887
each,57.491177,-1.0307205
paragraph,20.896261,-56.31861
ministers,37.702866,3.414343
except,-28.858473,-33.348267
representatives,54.923206,-2.0834448
every,57.749622,-0.86300415
duties,25.658394,24.828423
legal,-20.52303,44.353676
d,17.531525,-46.844707
two,38.725807,-52.9219
high,24.49797,5.5442233
matters,3.807472,6.5174875
first,16.903748,-34.913155
appointment,20.880014,-2.9768045
local,45.909164,16.116825
provision,3.3466218,-9.82838
5,9.714649,-75.04732
date,28.025959,-28.073257
proceedings,-5.3765397,7.478457
majority,41.708538,-19.238132
there,-27.84566,-40.267986
social,7.721104,44.66017
vote,32.637768,-18.701395
make,-10.111005,-15.62131
part,27.01737,41.52703
judge,29.70357,6.996384
appeal,23.599916,6.0355253
legislative,47.84973,1.2407659
deputy,38.93428,0.6093126
prescribed,-17.190403,-56.53387
him,-35.319572,-17.405895
decision,-7.9457035,1.2588111
conditions,8.455468,22.118471
means,-10.849999,24.643377
citizens,21.04588,47.523743
citizen,-31.86365,27.43941
unless,-13.097665,-33.38248
being,-35.05127,-25.466757
during,17.618984,-29.159027
her,-27.714935,24.136787
term,21.70379,-18.043842
courts,32.76857,14.729608
elections,25.42563,-12.939951
referred,-13.736506,-55.5766
them,-33.92815,-15.549596
necessary,-43.478474,-5.2281504
executive,53.68047,6.0711412
senate,48.13521,-9.432288
property,-10.755715,30.250479
purpose,52.391003,-28.942059
security,23.264238,53.17685
held,-37.075775,-47.2452
freedom,-22.295687,52.35796
chief,35.158222,2.2556586
take,-9.727064,-37.497738
until,1.0612127,-37.132996
procedure,9.489561,20.830572
number,36.87121,-20.042034
jurisdiction,23.812164,27.121763
specified,-16.70964,-56.08246
protection,-0.5594753,48.210747
more,9.917659,-35.193306
cases,-1.1093365,19.007141
against,-30.417908,7.3579636
purposes,52.389908,-28.944403
year,32.434063,-29.41335
same,-16.920492,-50.846348
electoral,35.18969,17.188719
judges,28.520267,8.228829
tribunal,33.5808,14.207821
well,-13.070601,-44.004875
day,28.057129,-28.122185
services,8.219477,57.32739
matter,-8.614259,-0.12145294
committee,38.025494,10.698035
economic,3.358162,45.279964
international,7.133533,8.503342
administration,22.27446,19.371777
acting,25.746075,-1.8506029
clause,21.682123,-55.72001
civil,29.216179,54.525143
development,2.579612,49.240997
administrative,19.398485,24.48257
rules,5.293546,3.6026213
otherwise,-21.60851,-38.22195
including,2.4995813,-29.990604
