,term_str,x,y,cluster
5,a,-31.273453,-38.28473,"x -50 to -30, y -55 to -30"
2593,abide,-39.416737,-46.359104,"x -50 to -30, y -55 to -30"
1224,able,-48.291203,-47.289112,"x -50 to -30, y -55 to -30"
2678,abolished,-38.575565,-38.1593,"x -50 to -30, y -55 to -30"
1032,absent,-48.843,-34.614944,"x -50 to -30, y -55 to -30"
1747,accepted,-36.61525,-49.951576,"x -50 to -30, y -55 to -30"
2423,accompanied,-36.09572,-51.05655,"x -50 to -30, y -55 to -30"
2036,accorded,-42.862644,-33.786488,"x -50 to -30, y -55 to -30"
3838,accumulated,-36.644157,-37.68446,"x -50 to -30, y -55 to -30"
3727,achieved,-35.60109,-38.686626,"x -50 to -30, y -55 to -30"
2417,added,-38.103634,-45.11082,"x -50 to -30, y -55 to -30"
1403,administered,-41.39974,-47.928066,"x -50 to -30, y -55 to -30"
3183,admissible,-38.78394,-39.76528,"x -50 to -30, y -55 to -30"
2892,admitted,-38.27514,-40.57227,"x -50 to -30, y -55 to -30"
410,adopted,-35.427345,-53.694706,"x -50 to -30, y -55 to -30"
1131,affected,-39.171677,-44.86362,"x -50 to -30, y -55 to -30"
1516,agreed,-34.927235,-48.62598,"x -50 to -30, y -55 to -30"
1484,allocated,-39.364952,-34.605087,"x -50 to -30, y -55 to -30"
1533,allowed,-46.53803,-45.12478,"x -50 to -30, y -55 to -30"
1641,altered,-44.09809,-39.59527,"x -50 to -30, y -55 to -30"
1634,always,-30.568974,-30.461905,"x -50 to -30, y -55 to -30"
2875,announced,-36.847,-49.185024,"x -50 to -30, y -55 to -30"
3415,appealed,-31.692154,-42.143005,"x -50 to -30, y -55 to -30"
642,applicable,-38.304745,-43.31159,"x -50 to -30, y -55 to -30"
865,applied,-37.892967,-43.453144,"x -50 to -30, y -55 to -30"
92,appointed,-44.0033,-51.254757,"x -50 to -30, y -55 to -30"
357,approved,-35.024414,-53.42389,"x -50 to -30, y -55 to -30"
3943,arbitrarily,-40.56607,-31.463978,"x -50 to -30, y -55 to -30"
3692,ascertained,-34.553776,-38.021313,"x -50 to -30, y -55 to -30"
2163,assented,-30.847471,-54.42519,"x -50 to -30, y -55 to -30"
2107,assisted,-41.942528,-49.61046,"x -50 to -30, y -55 to -30"
2364,assured,-40.727417,-42.109177,"x -50 to -30, y -55 to -30"
3025,audited,-34.18496,-34.537113,"x -50 to -30, y -55 to -30"
898,authorised,-44.49919,-48.16053,"x -50 to -30, y -55 to -30"
964,authorized,-44.29708,-48.14488,"x -50 to -30, y -55 to -30"
1600,bound,-40.102192,-47.255993,"x -50 to -30, y -55 to -30"
749,brought,-31.90323,-44.17626,"x -50 to -30, y -55 to -30"
3457,calculated,-34.6965,-37.67748,"x -50 to -30, y -55 to -30"
686,called,-40.393936,-51.093437,"x -50 to -30, y -55 to -30"
2068,certified,-38.067802,-49.77546,"x -50 to -30, y -55 to -30"
3151,challenged,-32.202446,-41.04036,"x -50 to -30, y -55 to -30"
3794,changed,-40.1092,-39.492245,"x -50 to -30, y -55 to -30"
474,charge,-33.692387,-33.392326,"x -50 to -30, y -55 to -30"
1266,chosen,-43.18912,-51.781513,"x -50 to -30, y -55 to -30"
1957,commenced,-31.719799,-40.096382,"x -50 to -30, y -55 to -30"
1827,compelled,-47.6535,-46.062126,"x -50 to -30, y -55 to -30"
