term_str,n,p,i,h,df,idf,dfidf,n_chars,ngram_length,porter_stem,max_pos,max_pos_group,n_pos,cat_pos,n_pos_group,cat_pos_group,stop,tfidf_mean,dp,di,dh
0,23,5.500197528832992e-06,17.47208513818677,9.609991950061453e-05,8,4.584962500721156,36.67970000576925,1,1,0,CD,NUM,1,CD,1,NUM,0,2.2941731558689447,0.041666666666666664,4.584962500721156,0.19104010419671483
0.05,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,4,1,0.05,CD,NUM,1,CD,1,NUM,0,3.7950148529802075,0.005208333333333333,7.584962500721156,0.03950501302458935
0.1,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,2,6.584962500721156,13.169925001442312,3,1,0.1,CD,NUM,1,CD,1,NUM,0,3.294696745027332,0.010416666666666666,6.584962500721156,0.06859335938251204
0.15,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,1,7.584962500721156,7.584962500721156,4,1,0.15,CD,NUM,1,CD,1,NUM,0,3.7950302951821135,0.005208333333333333,7.584962500721156,0.03950501302458935
0.19,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,4,1,0.19,CD,NUM,1,CD,1,NUM,0,3.795024795645418,0.005208333333333333,7.584962500721156,0.03950501302458935
0.25,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,4,1,0.25,CD,NUM,1,CD,1,NUM,0,3.7950225740811603,0.005208333333333333,7.584962500721156,0.03950501302458935
0.3,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,3,1,0.3,CD,NUM,1,CD,1,NUM,0,3.2947005761036317,0.010416666666666666,6.584962500721156,0.06859335938251204
0.30,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,4,1,0.30,CD,NUM,1,CD,1,NUM,0,3.7950225740811603,0.005208333333333333,7.584962500721156,0.03950501302458935
0.33,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,4,1,0.33,CD,NUM,1,CD,1,NUM,0,3.7950477122727055,0.005208333333333333,7.584962500721156,0.03950501302458935
0.35,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,4,1,0.35,CD,NUM,1,CD,1,NUM,0,3.7950366628177896,0.005208333333333333,7.584962500721156,0.03950501302458935
0.5,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,3,1,0.5,CD,NUM,1,CD,1,NUM,0,3.7950225740811603,0.005208333333333333,7.584962500721156,0.03950501302458935
00,9,2.152251206934649e-06,18.82572209280147,4.0517683095648255e-05,4,5.584962500721156,22.339850002884624,2,1,00,CD,NUM,1,CD,1,NUM,0,2.7944271490121824,0.020833333333333332,5.584962500721156,0.11635338543169074
000,210,5.0219194828475145e-05,14.28140157657766,0.0007172004881978455,47,2.030373649043519,95.42756150504539,3,1,000,CD,NUM,1,CD,1,NUM,0,1.0166328660520867,0.24479166666666666,2.030373649043519,0.4970185495054447
000.00,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,6,1,000.00,CD,NUM,1,CD,1,NUM,0,3.7950244719486173,0.005208333333333333,7.584962500721156,0.03950501302458935
001,5,1.1956951149636938e-06,19.67371899935642,2.3523769700698883e-05,2,6.584962500721156,13.169925001442312,3,1,001,CD,NUM,1,CD,1,NUM,0,3.2947117104771073,0.010416666666666666,6.584962500721156,0.06859335938251204
002,10,2.3913902299273877e-06,18.67371899935642,4.465614917147038e-05,2,6.584962500721156,13.169925001442312,3,1,002,CD,NUM,1,CD,1,NUM,0,3.2947940815281296,0.010416666666666666,6.584962500721156,0.06859335938251204
003,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,003,CD,NUM,1,CD,1,NUM,0,3.795024561843087,0.005208333333333333,7.584962500721156,0.03950501302458935
006,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,006,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
01,18,4.304502413869298e-06,17.82572209280147,7.673086377742721e-05,7,4.777607578663552,33.44325305064487,2,1,01,CD,NUM,1,CD,1,NUM,0,2.3905354341621066,0.036458333333333336,4.777607578663552,0.17418360963877536
010,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,2,6.584962500721156,13.169925001442312,3,1,010,CD,NUM,1,CD,1,NUM,0,3.2946974903751856,0.010416666666666666,6.584962500721156,0.06859335938251204
01000,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,1,7.584962500721156,7.584962500721156,5,1,01000,CD,NUM,1,CD,1,NUM,0,3.795035929118733,0.005208333333333333,7.584962500721156,0.03950501302458935
02,7,1.6739731609491714e-06,19.188292172186177,3.212068610069074e-05,4,5.584962500721156,22.339850002884624,2,1,02,CD,NUM,1,CD,1,NUM,0,2.7944272200861078,0.020833333333333332,5.584962500721156,0.11635338543169074
020,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,1,7.584962500721156,7.584962500721156,3,1,020,CD,NUM,1,CD,1,NUM,0,3.795035929118733,0.005208333333333333,7.584962500721156,0.03950501302458935
022,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,022,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
03,15,3.5870853448910818e-06,18.088756498635263,6.488591334355788e-05,5,5.2630344058337934,26.315172029168966,2,1,03,CD,NUM,1,CD,1,NUM,0,2.6334897452208685,0.026041666666666668,5.2630344058337934,0.1370581876519217
032,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,032,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
04,10,2.3913902299273877e-06,18.67371899935642,4.465614917147038e-05,4,5.584962500721156,22.339850002884624,2,1,04,CD,NUM,1,CD,1,NUM,0,2.7945251927994175,0.020833333333333332,5.584962500721156,0.11635338543169074
040,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,040,CD,NUM,1,CD,1,NUM,0,3.7950146316444235,0.005208333333333333,7.584962500721156,0.03950501302458935
044,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,3,1,044,CD,NUM,1,CD,1,NUM,0,3.795026330038907,0.005208333333333333,7.584962500721156,0.03950501302458935
045,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,045,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
047,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,047,CD,NUM,1,CD,1,NUM,0,3.7950148529802075,0.005208333333333333,7.584962500721156,0.03950501302458935
05,16,3.82622436788382e-06,17.995647094243783,6.885538342783323e-05,4,5.584962500721156,22.339850002884624,2,1,05,CD,NUM,1,CD,1,NUM,0,2.7945110755194835,0.020833333333333332,5.584962500721156,0.11635338543169074
050,4,9.56556091970955e-07,19.995647094243783,1.9126958040900216e-05,3,6.0,18.0,3,1,050,CD,NUM,1,CD,1,NUM,0,3.0020218279022335,0.015625,6.0,0.09375
055,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,055,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
06,8,1.91311218394191e-06,18.995647094243783,3.634080389785852e-05,3,6.0,18.0,2,1,06,CD,NUM,1,CD,1,NUM,0,3.002116513754792,0.015625,6.0,0.09375
063,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,063,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
067,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,067,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
07,19,4.543641436862037e-06,17.747719580800197,8.063927409713152e-05,8,4.584962500721156,36.67970000576925,2,1,07,CD,NUM,1,CD,1,NUM,0,2.294195915148224,0.041666666666666664,4.584962500721156,0.19104010419671483
08,13,3.1088072989056042e-06,18.29520737610269,5.6876274225819694e-05,5,5.2630344058337934,26.315172029168966,2,1,08,CD,NUM,1,CD,1,NUM,0,2.633433322360527,0.026041666666666668,5.2630344058337934,0.1370581876519217
082,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,3,1,082,CD,NUM,1,CD,1,NUM,0,3.7950167309590808,0.005208333333333333,7.584962500721156,0.03950501302458935
