term_str,n,p,i,h,df,idf,dfidf,n_chars,ngram_length,porter_stem,max_pos,max_pos_group,n_pos,cat_pos,n_pos_group,cat_pos_group,stop,tfidf_mean,dp,di,dh,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
abandon,11,2.6305292529201267e-06,18.536215475606486,4.876005704701362e-05,11,4.125530882083859,45.380839702922444,7,1,abandon,NN,NOUN,1,NN,1,NOUN,0,2.0642578830743825,0.057291666666666664,4.125530882083859,0.23635854011938773,0,0,0,1,0,1,0,1,0,0,-1
abandoned,37,8.848143850731336e-06,16.786193728614833,0.00014852665681702824,28,2.777607578663552,77.77301220257945,9,1,abandon,VB,VERB,2,NNP|VB,2,NOUN|VERB,0,1.389936404559177,0.14583333333333334,2.777607578663552,0.4050677718884347,1,0,0,1,0,1,0,1,0,0,-1
abandonment,43,1.0282977988687768e-05,16.569382339541683,0.00017038259388365895,34,2.497499659470817,84.91498842200778,11,1,abandon,NN,NOUN,2,NN|NNP,1,NOUN,0,1.2498240422218512,0.17708333333333334,2.4974996594708165,0.44226556469795714,1,0,0,1,0,1,0,1,1,0,-1
abduction,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,9,1,abduct,NN,NOUN,1,NN,1,NOUN,0,3.294697033892519,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,1,0,1,0,1,1,0,-1
abhor,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,5,1,abhor,NN,NOUN,1,NN,1,NOUN,0,3.795021552398701,0.005208333333333333,7.584962500721156,0.03950501302458935,1,0,1,1,0,1,0,0,0,0,-1
abnormal,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,3,6.0,18.0,8,1,abnorm,NN,NOUN,1,NN,1,NOUN,0,3.0020567505018563,0.015625,6.0,0.09375,0,0,1,0,0,1,0,0,0,0,-1
abolish,72,1.7218009655477193e-05,15.82572209280147,0.0002724874357987545,57,1.7520724865564143,99.86813173371561,7,1,abolish,NN,NOUN,1,NN,1,NOUN,0,0.8769443503228388,0.296875,1.7520724865564143,0.5201465194464355,1,0,0,0,0,1,0,0,0,0,-1
abortion,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,3,6.0,18.0,8,1,abort,NNP,NOUN,1,NNP,1,NOUN,0,3.002025286489397,0.015625,6.0,0.09375,0,0,1,1,0,1,0,1,0,0,-1
absence,994,0.00023770418885478236,12.038545052681496,0.0028616125867394083,142,0.4352153812164741,61.80058413273932,7,1,absenc,NN,NOUN,2,NN|NNP,1,NOUN,0,0.21859520291395285,0.7395833333333334,0.4352153812164741,0.3218780423580173,0,0,0,1,0,1,0,1,0,0,-1
absent,394,9.422077505913908e-05,13.373595274787407,0.0012600705121177094,86,1.1586977460190582,99.648006157639,6,1,absent,NN,NOUN,1,NN,1,NOUN,0,0.5805698835652356,0.4479166666666667,1.1586977460190582,0.5190000320710365,0,0,0,0,0,1,0,1,0,0,-1
absentee,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,8,1,absente,NN,NOUN,1,NN,1,NOUN,0,3.2947262236598864,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,0,0,1,0,1,0,0,-1
abundance,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,9,1,abund,NN,NOUN,1,NN,1,NOUN,0,3.7950504250442134,0.005208333333333333,7.584962500721156,0.03950501302458935,0,1,1,0,1,1,1,0,0,1,0
abundant,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,8,1,abund,NN,NOUN,1,NN,1,NOUN,0,3.2947313602966255,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,0,1,0,1,0,0,0,1
abuse,212,5.069747287446062e-05,14.267726639680584,0.0007233376842954257,82,1.2274104961030725,100.64766068045195,5,1,abus,NN,NOUN,2,NN|NNP,1,NOUN,0,0.6146311377613872,0.4270833333333333,1.2274104961030727,0.5242065660440206,1,0,1,1,0,1,0,1,0,0,-1
academic,106,2.534873643723031e-05,15.267726639680584,0.0003870175785849431,54,1.8300749985576876,98.82404992211514,8,1,academ,NN,NOUN,2,NN|NNP,1,NOUN,0,0.9160292194781828,0.28125,1.8300749985576876,0.5147085933443496,0,0,0,0,0,0,1,0,0,1,1
accident,34,8.130726781753119e-06,16.908184252993443,0.00013747582653663015,18,3.415037499278844,61.470674987019194,8,1,accid,NN,NOUN,2,NN|NNP,1,NOUN,0,1.708903679281896,0.09375,3.415037499278844,0.3201597655573916,0,0,0,1,0,1,0,1,1,0,-1
accomplish,48,1.1478673103651461e-05,16.410684593522628,0.0001883728838561756,28,2.777607578663552,77.77301220257945,10,1,accomplish,NN,NOUN,2,NN|NNP,1,NOUN,0,1.3901300214849108,0.14583333333333334,2.777607578663552,0.4050677718884347,0,0,0,0,1,0,1,0,0,0,1
accomplished,40,9.56556091970955e-06,16.67371899935642,0.00015949347484646242,28,2.777607578663552,77.77301220257945,12,1,accomplish,VB,VERB,1,VB,1,VERB,0,1.390096225743788,0.14583333333333334,2.777607578663552,0.4050677718884347,0,0,0,0,1,0,1,0,0,0,1
accord,308,7.365481908176354e-05,13.72886055354888,0.0010111967402704027,56,1.777607578663552,99.5460244051589,6,1,accord,NN,NOUN,2,NN|NNP,1,NOUN,0,0.8902115910624028,0.2916666666666667,1.777607578663552,0.5184688771102026,0,0,0,0,0,0,1,0,0,1,1
accountability,161,3.850138270183094e-05,14.664730216129165,0.000564612390270293,55,1.8036027871964966,99.19815329580732,14,1,account,NN,NOUN,2,NN|NNP,1,NOUN,0,0.9030801592084408,0.2864583333333333,1.8036027871964966,0.5166570484156631,0,0,0,0,0,0,1,0,0,1,1
accountable,214,5.11757509204461e-05,14.254180107842636,0.0007294683707741323,77,1.3181759600262548,101.49954892202162,11,1,account,NN,NOUN,1,NN,1,NOUN,0,0.6604243454271843,0.4010416666666667,1.3181759600262548,0.5286434839688626,0,0,0,0,0,0,1,0,0,1,1
accredited,81,1.937026086241184e-05,15.655797091359158,0.00030325687366861544,64,1.584962500721156,101.43760004615399,10,1,accredit,VB,VERB,1,VB,1,VERB,0,0.7933187019041448,0.3333333333333333,1.584962500721156,0.5283208335737186,0,0,0,0,0,0,1,0,0,1,1
accurate,22,5.261058505840253e-06,17.536215475606486,9.225905558818699e-05,16,3.584962500721156,57.3594000115385,8,1,accur,NN,NOUN,1,NN,1,NOUN,0,1.7938116278959824,0.08333333333333333,3.584962500721156,0.29874687506009634,0,0,0,0,0,0,1,0,0,1,1
accursed,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,1,7.584962500721156,7.584962500721156,8,1,accurs,VB,VERB,1,VB,1,VERB,0,3.7950427139670952,0.005208333333333333,7.584962500721156,0.03950501302458935,1,0,0,1,0,1,0,1,0,0,-1
accusation,87,2.0805095000368274e-05,15.552703598395054,0.0003235754758771786,43,2.158697746019058,92.8240030788195,10,1,accus,NN,NOUN,1,NN,1,NOUN,0,1.0805769162919858,0.22395833333333334,2.158697746019058,0.48345834936885157,1,0,1,0,0,1,0,0,0,0,-1
accused,497,0.00011885209442739118,13.038545052681496,0.0015496583877970952,137,0.4869304177606295,66.70946723320624,7,1,accus,VB,VERB,2,NNP|VB,2,NOUN|VERB,0,0.24426798317825557,0.7135416666666666,0.4869304177606295,0.34744514183961583,1,0,0,1,0,1,0,0,0,0,-1
accuser,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,7,1,accus,NN,NOUN,1,NN,1,NOUN,0,3.2947009811400747,0.010416666666666666,6.584962500721156,0.06859335938251204,1,0,0,1,0,1,0,0,0,0,-1
accusing,3,7.174170689782163e-07,20.410684593522628,1.464297351692384e-05,3,6.0,18.0,8,1,accus,VB,VERB,1,VB,1,VERB,0,3.0020290603954294,0.015625,6.0,0.09375,1,0,0,1,0,1,0,0,0,0,-1
achieve,204,4.878436069051871e-05,14.323221752272287,0.0006987492162131347,72,1.4150374992788437,101.88269994807675,7,1,achiev,NN,NOUN,1,NN,1,NOUN,0,0.7086767098936998,0.375,1.4150374992788437,0.5306390622295664,0,0,0,0,1,0,1,0,0,1,1
achievement,48,1.1478673103651461e-05,16.410684593522628,0.0001883728838561756,32,2.584962500721156,82.718800023077,11,1,achiev,NN,NOUN,2,NN|NNP,1,NOUN,0,1.2936505188758625,0.16666666666666666,2.584962500721156,0.430827083453526,0,1,0,0,1,0,1,0,0,1,1
acquiring,45,1.0761256034673246e-05,16.50379399791411,0.0001776015527550573,38,2.3370349872775704,88.80732951654768,9,1,acquir,VB,VERB,2,NNP|VB,2,NOUN|VERB,0,1.1695566718071484,0.19791666666666666,2.337034987277571,0.46253817456535257,0,1,0,0,0,0,1,0,0,0,1
actionable,5,1.1956951149636938e-06,19.67371899935642,2.3523769700698883e-05,5,5.2630344058337934,26.315172029168966,10,1,action,NN,NOUN,2,NN|NNP,1,NOUN,0,2.633295502828895,0.026041666666666668,5.2630344058337934,0.1370581876519217,1,0,1,0,0,1,0,0,0,0,-1
addresses,45,1.0761256034673246e-05,16.50379399791411,0.0001776015527550573,28,2.777607578663552,77.77301220257945,9,1,address,NN,NOUN,2,NN|NNP,1,NOUN,0,1.3900501426146494,0.14583333333333334,2.777607578663552,0.4050677718884347,0,1,0,0,0,0,1,0,0,0,1
adjudicate,69,1.6500592586498976e-05,15.887122637465614,0.0002621469380125652,29,2.726981505593584,79.08246366221394,10,1,adjud,NN,NOUN,2,NN|NNP,1,NOUN,0,1.3648340645887498,0.15104166666666666,2.726981505593584,0.4118878315740309,0,0,0,1,0,1,0,0,0,0,-1
admiral,7,1.6739731609491714e-06,19.188292172186177,3.212068610069074e-05,2,6.584962500721156,13.169925001442312,7,1,admir,NNP,NOUN,2,NN|NNP,1,NOUN,0,3.2947417687609986,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,0,0,0,1,0,0,1,1
admiration,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,10,1,admir,NN,NOUN,1,NN,1,NOUN,0,3.7950603372840015,0.005208333333333333,7.584962500721156,0.03950501302458935,0,0,0,0,1,0,1,0,0,1,1
admissible,79,1.8891982816426363e-05,15.69186634606668,0.00029645046936755087,33,2.5405683813627027,83.83875658496919,10,1,admiss,NN,NOUN,1,NN,1,NOUN,0,1.2715624089843955,0.171875,2.5405683813627027,0.4366601905467145,0,0,0,0,0,0,1,0,0,1,1
admonition,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,10,1,admonit,NN,NOUN,1,NN,1,NOUN,0,3.294689568943461,0.010416666666666666,6.584962500721156,0.06859335938251204,0,0,0,1,0,1,0,0,0,0,-1
advance,218,5.213230701241706e-05,14.227462769466856,0.0007417104571055795,103,0.8984619735379379,92.5415832744076,7,1,advanc,NN,NOUN,2,NN|NNP,1,NOUN,0,0.4499777542583781,0.5364583333333334,0.8984619735379377,0.4819874128875395,0,1,0,1,1,0,1,0,1,0,1
advent,2,4.782780459854775e-07,20.995647094243783,1.0041757066435586e-05,2,6.584962500721156,13.169925001442312,6,1,advent,NN,NOUN,1,NN,1,NOUN,0,3.294729111786953,0.010416666666666666,6.584962500721156,0.06859335938251204,0,1,0,0,1,0,1,0,0,1,1
adventure,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,9,1,adventur,NN,NOUN,1,NN,1,NOUN,0,3.79501390513481,0.005208333333333333,7.584962500721156,0.03950501302458935,0,1,0,0,0,0,1,0,0,0,1
adversary,7,1.6739731609491714e-06,19.188292172186177,3.212068610069074e-05,3,6.0,18.0,9,1,adversari,NN,NOUN,1,NN,1,NOUN,0,3.0021055455292522,0.015625,6.0,0.09375,1,0,0,0,0,1,0,0,0,0,-1
adverse,30,7.1741706897821635e-06,17.088756498635263,0.00012259765599733358,18,3.415037499278844,61.470674987019194,7,1,advers,NN,NOUN,2,NN|NNP,1,NOUN,0,1.7088453907757992,0.09375,3.415037499278844,0.3201597655573916,1,0,1,1,0,1,0,1,0,0,-1
adversity,1,2.3913902299273877e-07,21.995647094243783,5.260017556210532e-06,1,7.584962500721156,7.584962500721156,9,1,advers,NN,NOUN,1,NN,1,NOUN,0,3.7950687141287083,0.005208333333333333,7.584962500721156,0.03950501302458935,1,0,0,1,0,1,0,1,0,0,-1
advisable,12,2.8696682759128652e-06,18.410684593522628,5.283255751586963e-05,10,4.2630344058337934,42.63034405833793,9,1,advis,NN,NOUN,1,NN,1,NOUN,0,2.133009718440144,0.052083333333333336,4.2630344058337934,0.22203304197051008,0,0,0,0,0,0,1,0,0,1,1
